# tri-to-quad-uv-map v1 profile=face uv_layer=UVMap uv_precision=4 joins=2116 source=Face.only result=Face.only.quad
u1,v1,u2,v2
0.7945,0.2425,0.8002,0.2007
0.7505,0.2443,0.7506,0.2071
0.6809,0.1939,0.6902,0.2263
0.7848,0.3743,0.8114,0.3411
0.728,0.3663,0.7458,0.3441
0.7235,0.3512,0.7396,0.3271
0.764,0.3157,0.7818,0.2814
0.7551,0.2976,0.7677,0.2627
0.6818,0.308,0.69,0.2831
0.6716,0.2913,0.6759,0.2669
0.7409,0.4092,0.7565,0.3799
0.7471,0.4331,0.7627,0.404
0.7532,0.4577,0.7692,0.4306
0.7734,0.4963,0.8063,0.4865
0.7253,0.4431,0.7264,0.4598
0.7761,0.4786,0.8053,0.4562
0.7126,0.4356,0.7253,0.4431
0.7172,0.406,0.7409,0.4092
0.7565,0.3799,0.778,0.3527
0.7058,0.3703,0.7235,0.3512
0.7018,0.3564,0.7178,0.3352
0.7396,0.3271,0.7551,0.2976
0.7064,0.3843,0.7172,0.406
0.7304,0.3857,0.7511,0.3608
0.8774,0.4216,0.9114,0.3824
0.7064,0.3843,0.728,0.3663
0.778,0.3527,0.8023,0.3194
0.7088,0.4201,0.7269,0.4196
0.663,0.3758,0.6805,0.3602
0.6596,0.3633,0.676,0.3456
0.7178,0.3352,0.7318,0.3096
0.7318,0.3096,0.7433,0.279
0.6555,0.3492,0.6702,0.3299
0.5868,0.3444,0.6031,0.327
0.7215,0.2913,0.7284,0.2606
0.6967,0.3412,0.7106,0.3184
0.7677,0.2627,0.7746,0.2244
0.6298,0.3379,0.6432,0.319
0.7086,0.2732,0.7104,0.2432
0.592,0.4423,0.596,0.4522
0.6432,0.319,0.6533,0.2982
0.6805,0.3602,0.6967,0.3412
0.676,0.3456,0.6902,0.3249
0.6702,0.3299,0.6818,0.308
0.6843,0.3733,0.7018,0.3564
0.6433,0.2831,0.6468,0.2605
0.6451,0.2352,0.675,0.2399
0.6288,0.2199,0.6342,0.2455
0.6236,0.3232,0.6351,0.3041
0.6566,0.2233,0.6902,0.2263
0.7234,0.1909,0.7298,0.2268
0.7082,0.1557,0.7234,0.1909
0.5992,0.8989,0.6374,0.85
0.6531,0.121,0.6753,0.1452
0.5908,0.0873,0.6255,0.1024
0.5401,0.0894,0.5601,0.1009
0.562,0.0744,0.5908,0.0873
0.5507,0.0564,0.5901,0.0724
0.6385,0.1535,0.6554,0.1795
0.6647,0.1633,0.6809,0.1939
0.6082,0.1589,0.6248,0.1816
0.5909,0.1009,0.6224,0.1163
0.5394,0.1115,0.5613,0.123
0.5391,0.1008,0.5611,0.1125
0.5423,0.0781,0.5507,0.0564
0.5258,0.029,0.5507,0.0564
0.5,0.069,0.5136,0.0874
0.4766,0.0504,0.5,0.0278
0.4105,0.0327,0.4438,0.0073
0.4453,0.0311,0.473,0.0069
0.4493,0.0564,0.4742,0.029
0.5,0.1324,0.5106,0.1258
0.5234,0.0504,0.5322,0.0738
0.4106,0.0547,0.4453,0.0311
0.3723,0.0355,0.4101,0.0085
0.372,0.0569,0.4105,0.0327
0.5322,0.0738,0.5401,0.0894
0.3333,0.0411,0.3728,0.0119
0.3343,0.0615,0.3723,0.0355
0.5601,0.1009,0.5903,0.1138
0.2946,0.0496,0.3326,0.019
0.297,0.0687,0.3333,0.0411
0.5613,0.123,0.5864,0.1387
0.2575,0.0609,0.2925,0.0291
0.2597,0.0788,0.2946,0.0496
0.1802,0.08,0.2204,0.0759
0.5903,0.1138,0.6181,0.1311
0.2221,0.0922,0.2575,0.0609
0.1817,0.0952,0.2221,0.0922
0.2189,0.0585,0.2575,0.0609
0.1438,0.1032,0.1817,0.0952
0.1457,0.1164,0.1836,0.1098
0.0909,0.1454,0.1167,0.1364
0.6181,0.1311,0.6385,0.1535
0.1167,0.1364,0.1481,0.1291
0.0935,0.1562,0.1194,0.1479
0.6554,0.1795,0.6686,0.2096
0.1145,0.1246,0.1457,0.1164
0.0577,0.2008,0.0783,0.1857
0.075,0.1763,0.0965,0.1667
0.1194,0.1479,0.1516,0.141
0.0965,0.1667,0.1233,0.1588
0.1516,0.141,0.1836,0.1098
0.0383,0.2334,0.0623,0.2072
0.0719,0.1667,0.0935,0.1562
0.1863,0.1229,0.2221,0.0922
0.0783,0.1857,0.1006,0.1766
0.053,0.1945,0.075,0.1763
0.2244,0.1066,0.2597,0.0788
0.0623,0.2072,0.0822,0.1946
0.2625,0.0943,0.297,0.0687
0.2999,0.0851,0.3343,0.0615
0.3358,0.0782,0.372,0.0569
0.3719,0.074,0.4106,0.0547
0.2661,0.1082,0.2999,0.0851
0.3035,0.0996,0.3358,0.0782
0.3382,0.0928,0.3719,0.074
0.3726,0.0885,0.4099,0.0724
0.4092,0.0873,0.438,0.0744
