# tri-to-quad-uv-map v1 profile=mouth uv_layer=UVMap uv_precision=4 joins=848 source=Mouth result=Mouth.Quad
u1,v1,u2,v2
0.1653,0.904,0.1824,0.9314
0.1229,0.883,0.1389,0.8989
0.1478,0.9266,0.1528,0.8989
0.1455,0.883,0.1528,0.8989
0.2247,0.983,0.2544,0.9569
0.139,0.8618,0.1455,0.883
0.1229,0.883,0.1389,0.8989
0.1529,0.8618,0.1645,0.883
0.1653,0.904,0.1824,0.9314
0.1824,0.9314,0.2188,0.9569
0.1659,0.8551,0.189,0.883
0.1847,0.9069,0.2149,0.9314
0.189,0.883,0.2147,0.9069
0.2188,0.9569,0.2487,0.9314
0.2147,0.9069,0.2487,0.9314
0.2134,0.883,0.2481,0.9069
0.2626,0.983,0.2867,0.9539
0.2506,0.8513,0.2864,0.883
0.2499,0.883,0.2745,0.904
0.2544,0.9569,0.279,0.9271
0.2973,0.983,0.3115,0.9449
0.2766,0.8551,0.3014,0.883
0.2819,0.8258,0.2957,0.8618
0.2867,0.9539,0.3015,0.9177
0.3249,0.983,0.3327,0.933
0.3115,0.9449,0.3163,0.883
0.0194,0.9569,0.0489,0.9314
0.3252,0.7423,0.3338,0.6813
0.2958,0.7423,0.3128,0.6972
0.3032,0.6645,0.3338,0.6813
0.2593,0.7423,0.288,0.7091
0.2943,0.6044,0.3165,0.6204
0.2819,0.6776,0.3128,0.6972
0.2488,0.572,0.2745,0.5993
0.2819,0.6776,0.3128,0.6972
0.2201,0.7423,0.2553,0.7131
0.2765,0.6483,0.3013,0.6204
0.2819,0.6776,0.2957,0.6415
0.2505,0.6521,0.2862,0.6204
0.2553,0.7131,0.2819,0.6776
0.2178,0.6832,0.2505,0.6521
0.2521,0.6832,0.2765,0.6483
0.1828,0.7131,0.2201,0.7423
0.2189,0.7131,0.2521,0.6832
0.1861,0.6521,0.2134,0.6204
0.1481,0.6777,0.1861,0.6521
0.0818,0.7131,0.1138,0.6832
0.1477,0.7131,0.1824,0.7423
0.1126,0.7423,0.1477,0.7131
0.1659,0.6483,0.189,0.6204
0.1477,0.7131,0.1839,0.6832
0.0805,0.7423,0.1141,0.7131
0.146,0.6422,0.155,0.6204
0.1481,0.6777,0.1529,0.6415
0.146,0.6422,0.155,0.6204
0.1455,0.6204,0.1528,0.6044
0.1389,0.6044,0.1478,0.5767
0.1229,0.6204,0.1389,0.6044
0.0916,0.6483,0.1039,0.6204
0.1276,0.6483,0.1342,0.6204
0.0503,0.6832,0.0818,0.7131
0.0909,0.5993,0.1039,0.6204
0.1138,0.6832,0.1276,0.6483
0.0794,0.6415,0.085,0.6204
0.0794,0.6415,0.0818,0.6792
0.0705,0.6204,0.0794,0.6415
0.0505,0.7131,0.0805,0.7423
0.1828,0.7131,0.2178,0.6832
0.0194,0.6832,0.0505,0.7131
0.0489,0.572,0.0665,0.5993
0.0194,0.7131,0.0496,0.7423
0.2593,0.7423,0.288,0.7091
0.0481,0.6521,0.0705,0.6204
0.0194,0.6832,0.0481,0.6521
0.0194,0.5964,0.0449,0.6204
0.0194,0.7131,0.0496,0.7423
0.0194,0.6521,0.0449,0.6204
0.0489,0.572,0.0812,0.5465
0.0194,0.6521,0.0449,0.6204
0.0449,0.6204,0.0665,0.5993
0.0503,0.6832,0.0818,0.7131
0.0503,0.6832,0.0673,0.6483
0.0705,0.6204,0.0787,0.6044
0.0794,0.6415,0.0818,0.6792
0.0787,0.6044,0.0805,0.5754
0.0916,0.6483,0.1039,0.6204
0.0818,0.6792,0.1098,0.6521
0.1098,0.6521,0.1229,0.6204
0.2201,0.7423,0.2553,0.7131
0.0818,0.7131,0.1138,0.6832
0.1141,0.7131,0.1481,0.6777
0.0805,0.7423,0.1141,0.7131
0.1828,0.7131,0.2201,0.7423
0.1138,0.6832,0.1276,0.6483
0.1276,0.6483,0.1342,0.6204
0.1126,0.7423,0.1477,0.7131
0.139,0.6415,0.1455,0.6204
0.1276,0.6483,0.146,0.6422
0.139,0.6415,0.1455,0.6204
0.1276,0.6483,0.146,0.6422
0.1529,0.6415,0.1645,0.6204
