# tri-to-quad-uv-map v1 profile=longboots uv_layer=UVMap uv_precision=4 joins=323 source=LongBoots.NormalSrc result=LongBoots
u1,v1,u2,v2
0.4229,0.4018,0.4999,0.3764
0.5758,0.8689,0.6539,0.8946
0.3401,0.4037,0.4241,0.428
0.5758,0.7816,0.6539,0.8093
0.7363,0.5982,0.8188,0.6367
0.4999,0.4,0.5758,0.428
0.5758,0.428,0.6582,0.4077
0.8976,0.4274,0.9728,0.4545
0.6539,0.495,0.7363,0.523
0.4999,0.4274,0.5758,0.4545
0.346,0.6767,0.4241,0.6367
0.5758,0.495,0.6539,0.4757
0.7363,0.9195,0.8188,0.9479
0.4999,0.4545,0.5758,0.4757
0.4999,0.4757,0.5758,0.495
0.4241,0.495,0.4999,0.4757
0.5758,0.495,0.6539,0.523
0.1022,0.8894,0.1811,0.8656
0.4241,0.4757,0.4999,0.4545
0.346,0.523,0.4241,0.495
0.5758,0.4757,0.6539,0.4545
0.4241,0.8975,0.4999,0.9268
0.2635,0.5588,0.346,0.523
0.4999,0.523,0.5759,0.5588
0.8188,0.523,0.8976,0.5588
0.8188,0.6367,0.8976,0.6767
0.4241,0.523,0.4999,0.495
0.4999,0.495,0.5758,0.523
0.4999,0.5588,0.5758,0.5982
0.4241,0.8122,0.4999,0.8392
0.4999,0.7131,0.5758,0.7509
0.4241,0.7851,0.4999,0.8094
0.1811,0.6367,0.2635,0.5982
0.4241,0.6367,0.4999,0.5982
0.8188,0.8095,0.8976,0.8361
0.1811,0.8189,0.2635,0.8407
0.4999,0.6767,0.5758,0.7146
0.2635,0.9231,0.346,0.9552
0.4241,0.5588,0.4999,0.523
0.2635,0.6367,0.346,0.5982
0.6539,0.4757,0.7363,0.4545
0.346,0.6367,0.4241,0.5982
0.4241,0.5982,0.4999,0.5588
0.8976,0.9884,0.9728,0.9462
0.8976,0.4545,0.9728,0.4757
0.1811,0.8924,0.2635,0.8673
0.4999,0.8392,0.5758,0.8689
0.2635,0.8673,0.346,0.8405
0.2635,0.6767,0.346,0.7197
0.1811,0.7978,0.2635,0.8178
0.8188,0.5588,0.8976,0.5982
0.346,0.7197,0.4241,0.7539
0.1811,0.6767,0.2635,0.724
0.8188,0.9162,0.8976,0.9454
0.1811,0.6367,0.2635,0.6767
0.2635,0.7647,0.346,0.7901
0.2635,0.6767,0.346,0.6367
0.8976,0.7585,0.9728,0.7237
0.7363,0.8371,0.8188,0.8632
0.346,0.7901,0.4241,0.8122
0.1811,0.7688,0.2635,0.7948
0.2635,0.724,0.346,0.7592
0.346,0.7592,0.4241,0.7851
0.0271,0.9462,0.1022,0.9172
0.346,0.8153,0.4241,0.8399
0.1811,0.7272,0.2635,0.7647
0.4241,0.8694,0.4999,0.8976
0.8188,0.4757,0.8976,0.495
0.2635,0.8178,0.346,0.8405
0.5758,0.8968,0.6539,0.9232
0.346,0.8405,0.4241,0.8694
0.1022,0.8172,0.1811,0.84
0.1022,0.8172,0.1811,0.7978
0.8976,0.8618,0.9728,0.8864
0.1811,0.84,0.2635,0.8673
0.8188,0.8095,0.8976,0.7872
0.0271,0.8615,0.1022,0.8385
0.2635,0.9549,0.346,0.9884
0.8976,0.523,0.9728,0.5588
0.4999,0.7498,0.5758,0.7816
0.4241,0.6767,0.4999,0.6367
0.5758,0.6367,0.6539,0.6767
0.7363,0.7827,0.8188,0.755
0.5759,0.5588,0.6539,0.5982
0.2635,0.9231,0.346,0.8961
0.1022,0.8385,0.1811,0.8656
0.1022,0.9172,0.1811,0.8924
0.0271,0.8864,0.1022,0.8634
0.0271,0.9143,0.1022,0.8894
0.0271,0.9462,0.1022,0.9884
0.1811,0.9207,0.2635,0.8943
0.6539,0.7162,0.7363,0.7534
0.4241,0.7539,0.4999,0.7811
0.8188,0.9479,0.8976,0.9884
0.6539,0.955,0.7363,0.9884
0.4999,0.9566,0.5758,0.9884
0.4241,0.7161,0.4999,0.7498
0.4241,0.9556,0.4999,0.9268
0.6539,0.9232,0.7363,0.9517
0.346,0.9552,0.4241,0.9884
0.8188,0.8632,0.8976,0.8867
0.6539,0.8946,0.7363,0.9195
0.1022,0.9884,0.1811,0.9536
0.1811,0.9536,0.2635,0.9231
0.8976,0.8867,0.9728,0.9143
0.7363,0.6767,0.8188,0.6367
0.4999,0.8976,0.5758,0.9255
0.5758,0.9567,0.6539,0.9884
0.8976,0.8361,0.9728,0.8141
0.346,0.8961,0.4241,0.8694
0.4241,0.6767,0.4999,0.7131
0.7363,0.8651,0.8188,0.8887
0.8188,0.7841,0.8976,0.7585
0.8976,0.6367,0.9728,0.6767
0.6539,0.8093,0.7363,0.8371
0.8976,0.5982,0.9728,0.6367
0.4999,0.8094,0.5758,0.8393
0.6539,0.7821,0.7363,0.8092
0.7363,0.7176,0.8188,0.6767
0.7363,0.5588,0.8188,0.5982
0.8976,0.8361,0.9728,0.8615
0.5758,0.7509,0.6539,0.7821
0.8188,0.6767,0.8976,0.7209
0.5758,0.5982,0.6539,0.6367
0.7363,0.7534,0.8188,0.7186
0.5758,0.6767,0.6539,0.7162
0.5758,0.523,0.6539,0.5588
0.4999,0.6767,0.5758,0.6367
0.7363,0.8092,0.8188,0.7841
0.8188,0.5982,0.8976,0.6367
0.4999,0.6367,0.5758,0.5982
0.6539,0.5982,0.7363,0.6367
0.7363,0.9517,0.8188,0.9884
0.4241,0.9556,0.4999,0.9884
0.4999,0.9268,0.5758,0.9567
0.6539,0.495,0.7363,0.4757
0.9006,0.4065,0.9728,0.4274
0.7363,0.4274,0.8188,0.4545
0.1811,0.9884,0.2635,0.9549
0.7363,0.4545,0.8188,0.4757
0.8188,0.8887,0.8976,0.9144
0.8976,0.7209,0.9728,0.6767
0.7363,0.8371,0.8188,0.8095
0.4999,0.8692,0.5758,0.8968
0.8188,0.4545,0.8976,0.4757
0.6539,0.8384,0.7363,0.8651
0.5758,0.8393,0.6539,0.8674
0.8976,0.4757,0.9728,0.495
0.4241,0.8399,0.4999,0.8692
0.6539,0.5588,0.7363,0.5982
0.6539,0.7521,0.7363,0.7827
0.7363,0.523,0.8188,0.5588
0.6539,0.6367,0.7363,0.6767
0.5758,0.7146,0.6539,0.7521
0.8976,0.495,0.9728,0.523
0.7363,0.4757,0.8188,0.495
0.8188,0.495,0.8976,0.523
0.8325,0.3811,0.9006,0.4065
0.9143,0.3518,0.9728,0.338
0.9143,0.3518,0.9728,0.3851
0.8542,0.346,0.904,0.3837
0.904,0.3837,0.9728,0.406
0.7522,0.3796,0.8542,0.346
