# tri-to-quad-uv-map v1 profile=eyehighlight uv_layer=UVMap uv_precision=4 joins=264 source=EyeHighlight result=EyeHighlight.Quad
u1,v1,u2,v2
0.8417,0.5673,0.8644,0.5142
0.1398,0.5777,0.168,0.616
0.168,0.616,0.1982,0.6251
0.1159,0.5143,0.1396,0.45
0.1014,0.4291,0.1336,0.3693
0.1547,0.7144,0.1912,0.7227
0.14,0.2795,0.1816,0.262
0.183,0.3674,0.2145,0.3798
0.2087,0.1936,0.2488,0.2256
0.2488,0.2256,0.2885,0.198
0.5979,0.4937,0.6209,0.4263
0.1811,0.7574,0.2054,0.8192
0.249,0.2675,0.2835,0.2378
0.8184,0.262,0.86,0.2795
0.2195,0.2747,0.2493,0.3095
0.1544,0.3086,0.192,0.2984
0.3162,0.2669,0.3581,0.2797
0.247,0.7119,0.2765,0.7441
0.8121,0.4341,0.8414,0.4605
0.8018,0.6251,0.832,0.616
0.8204,0.4722,0.8448,0.514
0.3661,0.3628,0.3976,0.4128
0.2786,0.2777,0.3162,0.2669
0.2145,0.3798,0.2151,0.4383
0.3309,0.3387,0.3661,0.3628
0.3791,0.4263,0.4021,0.4937
0.2971,0.3377,0.3309,0.3387
0.6669,0.4079,0.6978,0.4008
0.3831,0.4973,0.3965,0.5783
0.7512,0.2256,0.7913,0.1936
0.1879,0.4341,0.2017,0.4871
0.3173,0.3682,0.3502,0.3852
0.3606,0.4398,0.3831,0.4973
0.378,0.5711,0.3801,0.661
0.3331,0.4079,0.3606,0.4398
0.1714,0.2258,0.2143,0.2349
0.3022,0.4008,0.3331,0.4079
0.364,0.5008,0.378,0.5711
0.7367,0.4113,0.7504,0.3579
0.6404,0.5657,0.655,0.5039
0.3294,0.6815,0.3637,0.643
0.817,0.3674,0.8491,0.3898
0.3596,0.5657,0.3637,0.643
0.296,0.6869,0.3294,0.6815
0.2023,0.3348,0.231,0.3602
0.2859,0.4359,0.3136,0.4325
0.3214,0.468,0.345,0.5039
0.7983,0.4871,0.8221,0.5138
0.7155,0.6437,0.7381,0.6165
0.2666,0.6608,0.296,0.6869
0.2721,0.7059,0.3053,0.7217
0.6363,0.643,0.6404,0.5657
0.808,0.2984,0.8456,0.3086
0.6452,0.7325,0.6854,0.7564
0.1871,0.5916,0.2015,0.5426
0.7078,0.4596,0.7257,0.4256
0.321,0.549,0.3316,0.6097
0.6363,0.643,0.6706,0.6815
0.7257,0.4256,0.7495,0.4123
0.2985,0.5378,0.323,0.5076
0.2479,0.666,0.2619,0.6165
0.7495,0.4123,0.7734,0.4227
0.7014,0.5104,0.7089,0.5618
0.1871,0.5916,0.2149,0.5905
0.2022,0.5149,0.2095,0.5652
0.2845,0.6437,0.2848,0.587
0.2496,0.3579,0.2633,0.4113
0.2619,0.6165,0.2845,0.6437
0.6024,0.4128,0.6339,0.3628
0.7089,0.5618,0.7267,0.6017
0.2363,0.6167,0.2479,0.666
0.2132,0.6473,0.2363,0.6167
0.7267,0.6017,0.7509,0.6154
0.2132,0.6473,0.2149,0.5905
0.7509,0.6154,0.775,0.6015
0.7637,0.6167,0.7868,0.6473
0.1159,0.5143,0.1398,0.5777
0.1356,0.5142,0.1583,0.5673
0.1356,0.5142,0.1586,0.4605
0.0962,0.5144,0.1205,0.4396
0.1511,0.6364,0.1827,0.6571
0.1552,0.514,0.1795,0.5551
0.8319,0.4103,0.8604,0.45
0.1396,0.45,0.1681,0.4103
0.1509,0.3898,0.183,0.3674
0.775,0.6015,0.7905,0.5652
0.832,0.616,0.8602,0.5777
0.1552,0.514,0.1796,0.4722
0.1586,0.4605,0.1879,0.4341
0.1779,0.5138,0.2017,0.4871
0.655,0.5039,0.6786,0.468
0.7905,0.5652,0.7978,0.5149
0.1681,0.4103,0.1986,0.4001
0.7911,0.4633,0.7978,0.5149
0.7734,0.4227,0.7911,0.4633
0.1879,0.4341,0.2151,0.4383
0.1687,0.338,0.2023,0.3348
0.1816,0.262,0.2195,0.2747
0.2145,0.3798,0.2373,0.4082
0.2373,0.4082,0.2496,0.3579
0.231,0.3602,0.2493,0.3095
0.7152,0.587,0.7155,0.6437
0.7851,0.5905,0.7868,0.6473
0.192,0.2984,0.225,0.3154
0.7115,0.198,0.7512,0.2256
