# tri-to-quad-uv-map v1 profile=rabbitear uv_layer=UVMap uv_precision=4 joins=518 source=RabbitEar.NormalSrc result=RabbitEar
u1,v1,u2,v2
0.0278,0.4263,0.043,0.4602
0.2486,0.3233,0.2712,0.3524
0.1107,0.0751,0.1459,0.0185
0.2007,0.3197,0.2478,0.2954
0.2007,0.3197,0.2486,0.3509
0.0244,0.3693,0.0367,0.3975
0.2486,0.3509,0.2704,0.38
0.2448,0.4322,0.2621,0.4684
0.0545,0.3417,0.0964,0.3151
0.1459,0.0775,0.1898,0.1306
0.0354,0.3693,0.0545,0.3417
0.0562,0.3976,0.0968,0.3702
0.2408,0.4654,0.253,0.5151
0.2008,0.3471,0.2479,0.3783
0.0551,0.3696,0.0965,0.3425
0.0272,0.1747,0.0494,0.123
0.2466,0.4053,0.2667,0.4347
0.013,0.2843,0.0271,0.2582
0.1459,0.1316,0.1944,0.1847
0.2004,0.3745,0.2466,0.4053
0.2428,0.2325,0.2685,0.2672
0.035,0.3412,0.0545,0.3141
0.1059,0.1292,0.1459,0.0775
0.0114,0.3405,0.0243,0.313
0.1459,0.2306,0.1944,0.1847
0.1034,0.5048,0.1459,0.4588
0.1997,0.4018,0.2448,0.4322
0.1459,0.3714,0.2008,0.3471
0.0387,0.4256,0.0562,0.3976
0.0985,0.2287,0.1459,0.1847
0.1988,0.4287,0.2408,0.4654
0.1459,0.5044,0.1858,0.5595
0.1,0.4587,0.1459,0.4258
0.0579,0.4254,0.0975,0.3979
0.0367,0.3975,0.0551,0.3696
0.1968,0.4617,0.2329,0.5114
0.0271,0.2582,0.0358,0.2861
0.1459,0.3166,0.2003,0.2924
0.0115,0.3693,0.0241,0.3409
0.059,0.2265,0.1016,0.1825
0.0975,0.3979,0.1459,0.3714
0.1927,0.5073,0.22,0.5639
0.0148,0.4276,0.0256,0.3978
0.0604,0.0185,0.0615,0.07
0.1459,0.5566,0.1755,0.6124
0.0545,0.3141,0.0966,0.2881
0.1784,0.0185,0.2177,0.0736
0.0983,0.4252,0.1459,0.3989
