# tri-to-quad-uv-map v1 profile=iris uv_layer=UVMap uv_precision=4 joins=264 source=Iris result=Iris.Quad
u1,v1,u2,v2
0.6163,0.4964,0.6388,0.4398
0.1831,0.3701,0.2145,0.3798
0.2505,0.3602,0.2746,0.3191
0.2975,0.3389,0.3315,0.3388
0.601,0.4123,0.6327,0.3626
0.622,0.5711,0.6357,0.5002
0.7645,0.6155,0.7878,0.6457
0.2377,0.4107,0.2505,0.3602
0.2692,0.3637,0.2975,0.3389
0.3176,0.3691,0.3502,0.3852
0.3612,0.4398,0.3837,0.4964
0.378,0.5711,0.3801,0.661
0.2863,0.3807,0.3176,0.3691
0.2505,0.3602,0.2633,0.4113
0.1877,0.4373,0.2151,0.4383
0.3331,0.4079,0.3612,0.4398
0.3643,0.5002,0.378,0.5711
0.708,0.461,0.7257,0.4256
0.3284,0.6779,0.3637,0.643
0.8667,0.3703,0.8989,0.4291
0.7257,0.4256,0.7495,0.4123
0.2859,0.4377,0.2863,0.3807
0.2859,0.4377,0.3134,0.4337
0.3134,0.4337,0.3423,0.4536
0.7018,0.5104,0.708,0.461
0.7495,0.4123,0.7733,0.4256
0.7018,0.5104,0.7089,0.5618
0.6866,0.4337,0.701,0.483
0.299,0.483,0.3134,0.4337
0.3214,0.468,0.345,0.5039
0.2615,0.6149,0.2845,0.6437
0.6866,0.4337,0.7141,0.4377
0.1679,0.4129,0.1987,0.4031
0.659,0.5567,0.6774,0.5074
0.832,0.6847,0.8663,0.6568
0.3226,0.5074,0.341,0.5567
0.6388,0.4398,0.6669,0.4079
0.1584,0.4624,0.1877,0.4373
0.1158,0.5145,0.1393,0.4513
0.3023,0.4023,0.3331,0.4079
0.6716,0.6779,0.705,0.6837
0.6547,0.3086,0.6929,0.3026
0.8027,0.6239,0.8325,0.6155
0.3416,0.7052,0.3801,0.661
0.3132,0.7526,0.3548,0.7325
0.8209,0.5554,0.845,0.5151
0.1018,0.5993,0.1337,0.6568
0.6691,0.6072,0.6994,0.62
0.2798,0.78,0.3223,0.787
0.1354,0.5148,0.1583,0.5673
0.1168,0.6775,0.1541,0.7135
0.1904,0.721,0.2111,0.7809
0.2447,0.789,0.284,0.8183
0.1337,0.6568,0.168,0.6847
0.1819,0.6559,0.2122,0.6457
0.2756,0.7417,0.3132,0.7526
0.2224,0.7044,0.2455,0.7496
0.1541,0.7135,0.1904,0.721
0.2502,0.3114,0.2793,0.2784
0.22,0.2762,0.2492,0.2262
0.7561,0.8284,0.7889,0.7809
0.1202,0.4402,0.1506,0.3916
0.2005,0.6862,0.2167,0.7426
0.7553,0.789,0.7833,0.7426
0.7287,0.7034,0.7527,0.6642
0.2793,0.2784,0.3167,0.2663
0.2005,0.6862,0.2287,0.6617
0.2143,0.2349,0.2487,0.1837
0.2713,0.7034,0.3041,0.7181
0.1394,0.578,0.1675,0.6155
0.8457,0.3097,0.8841,0.349
0.2473,0.6642,0.2713,0.7034
0.295,0.6837,0.3284,0.6779
0.8325,0.6155,0.8606,0.578
0.1675,0.6155,0.1973,0.6239
0.6691,0.6072,0.6795,0.5479
0.1687,0.3399,0.2028,0.3372
0.3152,0.6506,0.3473,0.6251
0.1583,0.5673,0.1871,0.5916
0.155,0.5151,0.1791,0.5554
0.155,0.5151,0.1793,0.4744
0.7367,0.4113,0.7495,0.3602
0.299,0.483,0.3226,0.5074
0.7733,0.4256,0.7911,0.4633
0.1776,0.5152,0.2015,0.5426
0.2985,0.5378,0.3119,0.5859
0.7911,0.4633,0.7978,0.5149
0.2633,0.4113,0.2863,0.3807
0.2145,0.3798,0.2151,0.4383
0.7918,0.5654,0.7978,0.5149
0.2122,0.6457,0.2355,0.6155
0.1877,0.4373,0.2017,0.4871
0.7137,0.3807,0.7141,0.4377
0.2473,0.6642,0.2615,0.6149
0.2145,0.3798,0.2377,0.4107
0.7515,0.614,0.775,0.6015
0.7271,0.5999,0.7515,0.614
0.7089,0.5618,0.7271,0.5999
0.2122,0.6457,0.214,0.5895
0.7985,0.5426,0.8224,0.5152
0.3006,0.62,0.3309,0.6072
0.2848,0.587,0.3119,0.5859
0.7385,0.6149,0.7527,0.6642
0.3205,0.5479,0.3309,0.6072
0.2167,0.7426,0.2447,0.789
