# tri-to-quad-uv-map v1 profile=eyewhite uv_layer=UVMap uv_precision=4 joins=264 source=EyeWhite result=EyeWhite.Quad
u1,v1,u2,v2
0.1956,0.6616,0.2362,0.7444
0.1115,0.397,0.1433,0.4529
0.6541,0.1958,0.7152,0.2087
0.1298,0.5932,0.1483,0.5251
0.1592,0.6317,0.1658,0.5551
0.916,0.2063,0.9306,0.2963
0.8861,0.7477,0.9193,0.6573
0.2026,0.2527,0.2369,0.1871
0.1479,0.2215,0.1856,0.1422
0.1826,0.1073,0.2372,0.139
0.3364,0.3998,0.39,0.4146
0.4311,0.3957,0.4612,0.4518
0.1658,0.5551,0.1836,0.5058
0.1122,0.2723,0.1231,0.3564
0.7312,0.6196,0.7591,0.5656
0.1913,0.1872,0.2372,0.139
0.2908,0.1602,0.3518,0.1572
0.1115,0.397,0.1585,0.3904
0.1407,0.3185,0.1585,0.3904
0.1686,0.2792,0.1913,0.1872
0.7089,0.7526,0.7623,0.6824
0.1592,0.6317,0.1824,0.7179
0.6587,0.499,0.6903,0.4667
0.7601,0.3183,0.7739,0.3827
0.1088,0.5467,0.1452,0.4885
0.2372,0.139,0.2952,0.1183
0.1538,0.4212,0.1807,0.4602
0.1828,0.4828,0.1862,0.4409
0.7993,0.4053,0.8138,0.4409
0.8138,0.4409,0.8172,0.4828
0.706,0.3473,0.7243,0.2703
0.0525,0.3607,0.0618,0.4368
0.2235,0.5535,0.2394,0.6207
0.1736,0.3679,0.1901,0.4209
0.7739,0.3827,0.7993,0.4053
0.1837,0.5853,0.1952,0.5241
0.4547,0.3787,0.4787,0.4493
0.8048,0.5241,0.8172,0.4828
0.3021,0.8332,0.3542,0.7762
0.2058,0.5436,0.2109,0.6012
0.742,0.3862,0.7739,0.3827
0.7565,0.4719,0.7942,0.5436
0.7249,0.3941,0.7565,0.4719
0.8415,0.3904,0.8885,0.397
0.6176,0.6904,0.6458,0.7762
0.2807,0.6892,0.2974,0.6169
0.9415,0.5025,0.9611,0.4315
0.2377,0.6824,0.2911,0.7526
0.2394,0.6207,0.2807,0.6892
0.2409,0.5656,0.2688,0.6196
0.0585,0.5025,0.1014,0.4448
0.0719,0.5683,0.0986,0.4959
0.2807,0.6892,0.3412,0.7361
0.3631,0.8068,0.4011,0.7226
0.3542,0.7762,0.3824,0.6904
0.3199,0.6771,0.3824,0.6904
0.414,0.7468,0.4339,0.6334
0.1452,0.4885,0.1836,0.5058
0.2688,0.6196,0.2774,0.5632
0.2974,0.6169,0.352,0.6419
0.3353,0.2398,0.3509,0.3271
0.4504,0.6518,0.4537,0.5344
0.4279,0.5233,0.4339,0.6334
0.4612,0.4518,0.472,0.5449
0.1538,0.4212,0.1901,0.4209
0.7346,0.3355,0.7587,0.3761
0.374,0.5793,0.4279,0.5233
0.8048,0.5241,0.8163,0.5853
0.3804,0.2817,0.4322,0.308
0.7193,0.6892,0.7606,0.6207
0.3758,0.3688,0.3804,0.2817
0.6176,0.6904,0.6801,0.6771
0.2381,0.253,0.2848,0.2087
0.6491,0.3271,0.706,0.3473
0.0896,0.322,0.1115,0.397
0.6196,0.2817,0.6242,0.3688
0.61,0.4146,0.6509,0.4632
0.3491,0.4632,0.39,0.4146
0.0988,0.629,0.1088,0.5467
0.9611,0.4315,0.9782,0.51
0.2369,0.1871,0.2908,0.1602
0.294,0.3473,0.3509,0.3271
0.2757,0.2703,0.294,0.3473
0.3358,0.548,0.352,0.6419
0.3097,0.4667,0.3413,0.499
0.3097,0.4667,0.3425,0.4334
0.3016,0.4272,0.3425,0.4334
0.0986,0.4959,0.1433,0.4529
