# tri-to-quad-uv-map v1 profile=rabbittail uv_layer=UVMap uv_precision=4 joins=751 source=RabbitTail.NormalSrc result=RabbitTail
u1,v1,u2,v2
0.6754,0.6941,0.6927,0.6773
0.6754,0.7104,0.6958,0.6921
0.5727,0.7817,0.6123,0.7702
0.6871,0.624,0.6945,0.6334
0.6466,0.7569,0.6754,0.7753
0.7059,0.8049,0.7401,0.7873
0.6787,0.6256,0.679,0.6321
0.6754,0.8502,0.7026,0.8687
0.7324,0.7354,0.7686,0.7421
0.7281,0.7189,0.762,0.7243
0.5199,0.7954,0.5727,0.7817
0.7593,0.908,0.8121,0.9052
0.7043,0.8517,0.7353,0.8749
0.7299,0.8947,0.7695,0.8859
0.689,0.6629,0.6964,0.6481
0.6754,0.7586,0.7028,0.741
0.6857,0.6519,0.6892,0.6381
0.7686,0.7421,0.8162,0.7481
0.7224,0.6403,0.7247,0.6625
0.6853,0.627,0.6892,0.6381
0.6342,0.6862,0.6521,0.7082
0.6754,0.6327,0.6771,0.6266
0.6958,0.6921,0.7101,0.672
0.6618,0.6629,0.6754,0.6794
0.682,0.6409,0.6825,0.63
0.7247,0.6625,0.7507,0.6613
0.7166,0.6862,0.7247,0.6625
0.6737,0.6266,0.6754,0.6327
0.7348,0.6756,0.7652,0.6748
0.61,0.9709,0.6475,0.9683
0.7166,0.6862,0.7449,0.6907
0.6718,0.6321,0.672,0.6256
0.762,0.7243,0.8047,0.7256
0.6754,0.642,0.679,0.6321
0.7051,0.7739,0.7358,0.7521
0.6682,0.63,0.6705,0.6241
0.6754,0.7269,0.6987,0.7082
0.7032,0.9683,0.7106,0.9367
0.6521,0.7082,0.6754,0.7269
0.6754,0.8209,0.7059,0.8049
0.5914,0.908,0.6289,0.9152
0.6461,0.6415,0.6616,0.6381
0.6562,0.6334,0.6636,0.624
0.6562,0.6334,0.6682,0.63
0.6754,0.7429,0.701,0.7248
0.6682,0.63,0.6688,0.6409
0.6464,0.8517,0.6754,0.8347
0.6718,0.6321,0.6754,0.642
0.6139,0.6502,0.637,0.6503
0.648,0.741,0.6754,0.7586
0.6461,0.6415,0.6525,0.6278
0.7028,0.741,0.7281,0.7189
0.6481,0.6583,0.658,0.6773
0.6261,0.6625,0.6481,0.6583
0.6497,0.7248,0.6754,0.7429
0.6544,0.6481,0.6618,0.6629
0.6654,0.627,0.6695,0.6225
0.701,0.7248,0.7228,0.7021
0.6754,0.642,0.6857,0.6519
0.628,0.7021,0.6497,0.7248
0.6123,0.7702,0.645,0.7897
0.6688,0.6409,0.6754,0.6531
0.7358,0.7521,0.7743,0.7622
0.6754,0.8666,0.7002,0.8868
0.6616,0.6381,0.665,0.6519
0.7781,0.7817,0.8309,0.7954
0.6754,0.6645,0.6857,0.6519
0.6456,0.7739,0.6754,0.7907
0.665,0.6519,0.6754,0.6645
0.637,0.6503,0.6544,0.6481
0.7385,0.7702,0.7781,0.7817
0.6283,0.6403,0.6461,0.6415
0.7802,0.8012,0.8333,0.8209
0.645,0.7897,0.6754,0.8054
0.6154,0.8749,0.6464,0.8517
0.6407,0.672,0.6549,0.6921
0.7401,0.7873,0.7802,0.8012
0.616,0.6756,0.6407,0.672
0.6448,0.8049,0.6754,0.8209
0.6058,0.6907,0.6342,0.6862
0.741,0.8039,0.7809,0.8209
0.7058,0.8209,0.741,0.8039
0.7058,0.8209,0.7405,0.8377
0.6754,0.8209,0.7054,0.8355
0.7228,0.7021,0.7542,0.7073
0.7762,0.8637,0.831,0.8489
0.7387,0.8558,0.7797,0.8419
0.7054,0.8355,0.7387,0.8558
0.6754,0.8054,0.7057,0.7897
0.7797,0.8419,0.8333,0.8209
0.6097,0.8039,0.6449,0.8209
0.7695,0.8859,0.8241,0.8771
0.6754,0.8347,0.7043,0.8517
0.5197,0.8489,0.5699,0.8209
0.7057,0.7897,0.7385,0.7702
0.7353,0.8749,0.7762,0.8637
0.6754,0.7907,0.7051,0.7739
0.7593,0.908,0.7701,0.954
0.7026,0.8687,0.7299,0.8947
0.7299,0.8947,0.7453,0.9297
0.7084,0.9806,0.7267,0.9501
0.7219,0.9152,0.7267,0.9501
0.6967,0.9061,0.7106,0.9367
0.7002,0.8868,0.7219,0.9152
0.6856,0.953,0.7106,0.9367
0.6754,0.951,0.6917,0.928
0.6754,0.9251,0.6967,0.9061
0.6001,0.6613,0.6261,0.6625
0.6754,0.9033,0.7002,0.8868
0.7027,0.6583,0.7046,0.6415
0.5581,0.707,0.5966,0.7073
0.5765,0.7622,0.615,0.7521
0.6289,0.9152,0.659,0.928
0.6541,0.9061,0.6754,0.8841
0.5567,0.9314,0.6055,0.9297
0.6506,0.8868,0.6754,0.8666
0.6481,0.8687,0.6754,0.8502
0.6209,0.8947,0.6541,0.9061
0.6209,0.8947,0.6481,0.8687
0.5713,0.6902,0.6058,0.6907
0.5699,0.8209,0.6097,0.8039
0.6401,0.9367,0.6651,0.953
0.5966,0.7073,0.628,0.7021
0.5461,0.7256,0.5887,0.7243
0.659,0.928,0.6754,0.9033
0.6241,0.9501,0.6544,0.9595
0.5887,0.7243,0.6227,0.7189
0.5807,0.954,0.6241,0.9501
0.5259,0.7711,0.5765,0.7622
0.6227,0.7189,0.648,0.741
0.6055,0.9297,0.6401,0.9367
0.5821,0.7421,0.6184,0.7354
0.7449,0.6907,0.7795,0.6902
0.7542,0.7073,0.7926,0.707
0.5175,0.8209,0.5705,0.8012
0.5813,0.8859,0.6209,0.8947
0.5267,0.8771,0.5813,0.8859
0.6449,0.8209,0.6754,0.8347
0.5705,0.8012,0.6106,0.7873
0.5746,0.8637,0.6154,0.8749
0.5197,0.8489,0.5746,0.8637
0.7743,0.7622,0.8249,0.7711
0.5711,0.8419,0.612,0.8558
0.6184,0.7354,0.6466,0.7569
0.612,0.8558,0.6454,0.8355
0.615,0.7521,0.6456,0.7739
0.5711,0.8419,0.6097,0.8209
0.5855,0.6748,0.616,0.6756
0.6097,0.8209,0.6454,0.8355
0.6106,0.7873,0.6448,0.8049
0.7107,0.6335,0.7138,0.6503
0.5386,0.9052,0.5914,0.908
0.6987,0.7082,0.7166,0.6862
0.6983,0.6278,0.7046,0.6415
0.6754,0.7753,0.7041,0.7569
0.6651,0.953,0.6754,0.9251
0.7041,0.7569,0.7324,0.7354
0.6945,0.6334,0.6964,0.6481
0.6754,0.6794,0.689,0.6629
0.6549,0.6921,0.6754,0.7104
0.658,0.6773,0.6754,0.6941
0.7407,0.9709,0.7453,0.9297
0.7101,0.672,0.7138,0.6503
0.6813,0.6225,0.6853,0.627
0.7405,0.8377,0.7809,0.8209
0.3675,0.2883,0.3744,0.3147
0.3347,0.3926,0.3744,0.3733
0.3744,0.3534,0.4092,0.3733
0.3744,0.5504,0.4107,0.5149
0.3305,0.4728,0.3744,0.4938
0.3293,0.4319,0.3744,0.4519
0.3744,0.3733,0.414,0.3926
0.3292,0.4519,0.3744,0.4728
0.3744,0.3147,0.3966,0.3343
0.3334,0.4938,0.3744,0.5149
0.3293,0.4319,0.3744,0.4125
0.3521,0.3343,0.3744,0.3147
0.349,0.5504,0.3744,0.5149
0.3744,0.4125,0.4194,0.4319
0.3744,0.4728,0.4196,0.4519
0.3395,0.3733,0.3744,0.3534
0.3744,0.579,0.3997,0.5504
0.3744,0.3926,0.4177,0.4124
0.3744,0.5149,0.4153,0.4938
0.331,0.4124,0.3744,0.3926
0.3744,0.3343,0.4031,0.3534
0.3744,0.4938,0.4183,0.4728
0.3744,0.4519,0.4194,0.4319
0.3597,0.579,0.3744,0.5504
0.3744,0.2884,0.3901,0.3147
0.3457,0.3534,0.3744,0.3343
0.4356,0.1479,0.472,0.1242
0.4107,0.2958,0.4356,0.2669
0.4356,0.0381,0.4513,0.0598
0.4356,0.1004,0.472,0.1242
0.4198,0.0598,0.4356,0.0772
0.4356,0.3275,0.4608,0.2958
0.4356,0.2204,0.481,0.1957
0.4356,0.0772,0.4648,0.1004
0.3921,0.2204,0.4356,0.1957
0.3901,0.1957,0.4356,0.1714
0.4356,0.2669,0.4757,0.2449
0.3954,0.2449,0.4356,0.2204
0.3938,0.1479,0.4356,0.1714
0.4011,0.2669,0.4356,0.2449
0.4143,0.0772,0.4356,0.1004
0.4216,0.3275,0.4356,0.2958
0.4271,0.0381,0.4356,0.0598
0.4356,0.2449,0.4791,0.2204
0.4356,0.1714,0.4773,0.1479
0.4356,0.0598,0.4569,0.0772
0.4356,0.1957,0.4803,0.1714
0.3992,0.1242,0.4356,0.1479
0.4356,0.2958,0.47,0.2669
0.4064,0.1004,0.4356,0.1242
0.2494,0.4728,0.2903,0.4938
0.2234,0.3453,0.2494,0.3618
0.2494,0.3618,0.2754,0.3453
0.2085,0.4938,0.2494,0.4728
0.2304,0.3245,0.2494,0.3453
0.2055,0.4728,0.2494,0.4519
0.2494,0.4519,0.2944,0.4319
0.2494,0.3245,0.2616,0.3041
0.2425,0.2883,0.2494,0.3041
0.2494,0.4125,0.289,0.3926
0.2372,0.3041,0.2494,0.3245
0.2494,0.4938,0.2857,0.5149
0.2131,0.5149,0.2494,0.5504
0.2061,0.4124,0.2494,0.4319
0.2494,0.3926,0.2842,0.3733
0.2494,0.3453,0.2684,0.3245
0.218,0.3618,0.2494,0.3733
0.224,0.5504,0.2494,0.579
0.2494,0.4519,0.2933,0.4728
0.2042,0.4519,0.2494,0.4319
0.2494,0.2884,0.2525,0.276
0.2494,0.5504,0.2641,0.579
0.2463,0.276,0.2494,0.2884
0.2494,0.4319,0.2927,0.4124
0.2131,0.5149,0.2494,0.4938
0.2494,0.5504,0.2857,0.5149
0.2097,0.3926,0.2494,0.4125
0.2146,0.3733,0.2494,0.3926
0.2494,0.2884,0.2616,0.3041
0.2494,0.3733,0.2808,0.3618
0.5644,0.2669,0.5896,0.2958
0.5644,0.0772,0.5802,0.0598
0.5644,0.1714,0.6099,0.1957
0.528,0.1242,0.5644,0.1004
0.5431,0.0772,0.5644,0.0598
0.5644,0.2204,0.6046,0.2449
0.5243,0.2449,0.5644,0.2669
0.5227,0.1479,0.5644,0.1242
0.5644,0.2958,0.5784,0.3275
0.5644,0.1714,0.6062,0.1479
0.5209,0.2204,0.5644,0.2449
0.5197,0.1714,0.5644,0.1957
0.5644,0.2449,0.5989,0.2669
0.5227,0.1479,0.5644,0.1714
0.5395,0.2958,0.5644,0.3275
0.5644,0.1242,0.5936,0.1004
0.5644,0.0598,0.5729,0.0381
0.53,0.2669,0.5644,0.2958
0.5644,0.1957,0.6079,0.2204
0.5487,0.0598,0.5644,0.0381
0.5644,0.1479,0.6008,0.1242
0.519,0.1957,0.5644,0.2204
0.5644,0.1004,0.5857,0.0772
0.5352,0.1004,0.5644,0.0772
0.3096,0.1479,0.346,0.1242
0.2642,0.1957,0.3096,0.2204
0.2695,0.2449,0.3096,0.2669
0.2847,0.2958,0.3096,0.2669
0.3096,0.2958,0.3441,0.2669
0.2804,0.1004,0.3096,0.1242
0.2661,0.2204,0.3096,0.2449
0.2733,0.1242,0.3096,0.1479
0.3096,0.1714,0.3514,0.1479
0.2939,0.0598,0.3096,0.0772
0.3096,0.3275,0.3348,0.2958
0.2883,0.0772,0.3096,0.1004
0.3096,0.0772,0.3254,0.0598
0.2957,0.3275,0.3096,0.2958
0.2679,0.1479,0.3096,0.1714
0.3096,0.2204,0.3498,0.2449
0.3096,0.2669,0.3498,0.2449
0.3096,0.1004,0.3309,0.0772
0.3011,0.0381,0.3096,0.0598
0.3096,0.0598,0.3182,0.0381
0.2649,0.1714,0.3096,0.1957
0.3096,0.1957,0.3532,0.2204
0.3096,0.1714,0.3551,0.1957
0.3096,0.1242,0.3389,0.1004
0.7714,0.1479,0.8132,0.1714
0.8132,0.0772,0.8289,0.0598
0.8132,0.2669,0.8533,0.2449
0.7839,0.1004,0.8132,0.0772
0.7696,0.2204,0.8132,0.2449
0.8132,0.3275,0.8383,0.2958
0.8132,0.2958,0.8476,0.2669
0.7992,0.3275,0.8132,0.2958
0.7768,0.1242,0.8132,0.1479
0.8132,0.0598,0.8217,0.0381
0.7882,0.2958,0.8132,0.2669
0.7974,0.0598,0.8132,0.0381
0.8132,0.1242,0.8424,0.1004
0.8132,0.1004,0.8345,0.0772
0.7839,0.1004,0.8132,0.1242
0.773,0.2449,0.8132,0.2669
0.8132,0.1479,0.8495,0.1242
0.7684,0.1714,0.8132,0.1957
0.7918,0.0772,0.8132,0.0598
0.8132,0.1479,0.8579,0.1714
0.8132,0.1714,0.8586,0.1957
0.8132,0.2204,0.8533,0.2449
0.7677,0.1957,0.8132,0.2204
0.8132,0.1957,0.8567,0.2204
0.9401,0.5628,0.9496,0.5469
0.9005,0.6436,0.9401,0.6634
0.9356,0.5317,0.9401,0.5469
0.8963,0.7237,0.9401,0.7029
0.9211,0.5754,0.9401,0.5962
0.9401,0.5469,0.9447,0.5317
0.9401,0.83,0.9655,0.8013
0.9401,0.5962,0.9592,0.5754
0.9038,0.7658,0.9401,0.7447
0.8992,0.7447,0.9401,0.7237
0.9148,0.8013,0.9401,0.83
0.9401,0.5754,0.9549,0.5628
0.9401,0.6128,0.9662,0.5962
0.9401,0.8013,0.9765,0.7658
0.9401,0.7237,0.9811,0.7447
0.9401,0.7029,0.984,0.7237
0.9307,0.5469,0.9401,0.5628
0.8951,0.6828,0.9401,0.7029
0.9401,0.6829,0.9835,0.6634
0.9401,0.6243,0.9715,0.6128
0.9401,0.6634,0.9798,0.6436
0.9254,0.5628,0.9401,0.5754
0.9401,0.6436,0.975,0.6243
0.9088,0.6128,0.9401,0.6243
0.9141,0.5962,0.9401,0.6128
0.9053,0.6243,0.9401,0.6436
0.8968,0.6634,0.9401,0.6829
0.9038,0.7658,0.9401,0.8013
0.9401,0.7447,0.9765,0.7658
0.9401,0.7029,0.9852,0.6828
0.1838,0.7481,0.2314,0.7421
0.2862,0.6503,0.2893,0.6335
0.2257,0.7622,0.2642,0.7521
0.2954,0.6415,0.2973,0.6583
0.3108,0.6381,0.3147,0.627
0.341,0.928,0.3711,0.9152
0.3246,0.6794,0.3382,0.6629
0.3534,0.7569,0.3816,0.7354
0.2314,0.7421,0.2676,0.7354
0.1751,0.7711,0.2257,0.7622
0.3246,0.8347,0.3536,0.8517
0.3042,0.6921,0.3246,0.7104
0.3246,0.6327,0.3263,0.6266
0.3546,0.8355,0.388,0.8558
0.3525,0.9683,0.39,0.9709
0.2595,0.8377,0.2942,0.8209
0.2198,0.8012,0.2599,0.7873
0.3229,0.6266,0.3246,0.6327
0.259,0.8039,0.2942,0.8209
0.1667,0.8209,0.2198,0.8012
0.2203,0.8419,0.2613,0.8558
0.3175,0.63,0.3197,0.6241
0.3147,0.627,0.3187,0.6225
0.321,0.6321,0.3213,0.6256
0.2642,0.7521,0.2949,0.7739
0.3246,0.6531,0.3312,0.6409
0.2615,0.7702,0.2943,0.7897
0.3175,0.63,0.318,0.6409
0.3246,0.8841,0.3459,0.9061
0.3384,0.6381,0.3539,0.6415
0.2719,0.7189,0.2972,0.741
0.2772,0.7021,0.299,0.7248
0.3143,0.6519,0.3246,0.642
0.3246,0.8054,0.355,0.7897
0.2954,0.6415,0.3017,0.6278
0.3456,0.9595,0.3759,0.9501
0.3108,0.6381,0.3143,0.6519
0.3036,0.6481,0.3055,0.6334
0.3033,0.9061,0.3246,0.9251
0.311,0.6629,0.3246,0.6794
0.3036,0.6481,0.311,0.6629
0.3759,0.9501,0.4193,0.954
0.2973,0.6583,0.3073,0.6773
0.3073,0.6773,0.3246,0.6941
0.2862,0.6503,0.2899,0.672
0.363,0.6503,0.3861,0.6502
0.3246,0.6941,0.342,0.6773
0.3945,0.9297,0.4433,0.9314
0.3711,0.9152,0.4086,0.908
0.4086,0.908,0.4614,0.9052
0.2219,0.7817,0.2615,0.7702
0.4113,0.7243,0.4539,0.7256
0.3536,0.8517,0.3846,0.8749
0.2946,0.8355,0.3246,0.8209
0.2191,0.8209,0.259,0.8039
0.169,0.8489,0.2238,0.8637
0.2998,0.8868,0.3246,0.8666
0.2348,0.6748,0.2652,0.6756
0.2551,0.6907,0.2834,0.6862
0.238,0.7243,0.2719,0.7189
0.3791,0.8947,0.4187,0.8859
0.3816,0.7354,0.4179,0.7421
0.384,0.6756,0.4145,0.6748
0.3246,0.8502,0.3519,0.8687
0.3593,0.672,0.384,0.6756
0.3552,0.8049,0.3894,0.7873
0.3246,0.7104,0.3451,0.6921
0.3451,0.6921,0.3593,0.672
0.3246,0.8666,0.3494,0.8868
0.2613,0.8558,0.2946,0.8355
0.3658,0.6862,0.3942,0.6907
0.4034,0.7073,0.4419,0.707
0.3459,0.9061,0.3791,0.8947
0.3479,0.7082,0.3658,0.6862
